id,unit_name,address,apti,score
1481507,安徽省水利水电勘测设计研究总院股份有限公司（原安徽省水利水电勘测设计研究总院有限公司）,安徽省合肥市,工程勘察综合类甲级,98.7
1481523,南京市水利规划设计院股份有限公司,江苏省南京市,工程勘察专业类（岩土工程（勘察））甲级；工程勘察专业类（水文地质勘察、工程测量、岩土工程（设计，物探测试检测检测））乙级,95
1481513,淮安市水利勘测设计研究院有限公司,江苏省淮安市,工程勘察专业类（岩土工程、工程测量）甲级,94.8
1481536,海南省水利水电勘测设计研究院有限公司（原海南省水利水电勘测设计研究院）,海南省海口市,工程勘察专业类（岩土工程（勘察））甲级,94.4
1481509,青岛市水利勘测设计研究院有限公司,山东省青岛市,工程勘察专业类（岩土工程（勘察））甲级；工程勘察专业类（岩土工程（设计，物探测试检测检测）、水文地质勘察、工程测量）乙级,93.7
1481525,中水淮河规划设计研究有限公司,安徽省合肥市,工程勘察专业类（岩土工程（勘察））甲级,93.1
1481508,长江勘测规划设计研究有限责任公司,湖北省武汉市,工程勘察综合类甲级,93
1481511,扬州市勘测设计研究院有限公司,江苏省扬州市,工程勘测专业类（岩土工程（勘察，物探测试检测检测））甲级,91.3
1481506,水发规划设计有限公司,山东省济南市,工程勘察专业类（岩土工程）甲级；工程勘察专业类（工程测量、水文地质勘察）乙级,90.4
1481512,黄河勘测规划设计研究院有限公司,河南省郑州市,工程勘察综合资质甲级,89.4
1481542,贵州省水利水电勘测设计研究院有限公司,贵州省贵阳市,工程勘察综合资质甲级,89.3
1481548,安徽省阜阳市水利规划设计院有限公司,安徽省阜阳市,工程勘察专业类（岩土工程）乙级；工程勘察专业类工程测量乙级,88.4
1481510,浙江省水利水电勘测设计院有限责任公司（原浙江省水利水电勘测设计院）,浙江省杭州市,工程勘察综合类甲级,87.6
1481505,江苏省水利勘测设计研究院有限公司,江苏省扬州市,工程勘察专业类（岩土工程、工程测量）甲级,86.6
1481538,上海市政工程设计研究总院（集团）有限公司,上海市,工程勘察综合资质甲级,85.2
1481530,中水北方勘测设计研究有限责任公司,天津市,工程勘察综合资质甲级,85.2
1481519,宁夏水利水电勘测设计研究院有限公司,宁夏省银川市,工程勘察专业类（岩土工程、工程测量）甲级,84.6
1481547,安徽省阜阳市勘测院有限公司,安徽省阜阳市,工程勘察专业类（岩土工程（勘察））甲级；工程勘察专业类（水文地质勘察、工程测量）乙级；劳务类凿井；劳务类工程钻探,84.3
1481517,中国电建集团北京勘测设计研究院有限公司,北京市,工程勘察综合资质甲级,83.7
